,Accuracy,Macro F1
RckPrdctr_1fs_1,0.477,0.129
LgstcRgrssn_1fs_1,0.49,0.276
XGBClssfr_2fs_1,0.516,0.324
LgstcRgrssn_8fs_1,0.503,0.347
LgstcRgrssn_8fs_2,0.548,0.401
XGBClssfr_6fs_1,0.432,0.179
LgstcRgrssn_6fs_1,0.484,0.243
LgstcRgrssn_6fs_2,0.477,0.239
LgstcRgrssn_6fs_3,0.471,0.238
LgstcRgrssn_6fs_4,0.471,0.225
LgstcRgrssn_6fs_5,0.484,0.245
LgstcRgrssn_6fs_6,0.477,0.239
XGBClssfr_6fs_2,0.387,0.196
XGBClssfr_6fs_3,0.439,0.214
XGBClssfr_6fs_4,0.477,0.129
XGBClssfr_6fs_5,0.458,0.306
LgstcRgrssn_6fs_7,0.465,0.224
XGBClssfr_6fs_6,0.477,0.129
XGBClssfr_6fs_7,0.477,0.129
XGBClssfr_6fs_8,0.419,0.206
GrdntBstngClssfr_6fs_1,0.406,0.215
XGBClssfr_6fs_9,0.413,0.235
XGBClssfr_6fs_10,0.477,0.129
LgstcRgrssn_6fs_8,0.484,0.243
XGBClssfr_6fs_11,0.413,0.2
XGBClssfr_6fs_12,0.477,0.129
LgstcRgrssn_6fs_9,0.497,0.239
XGBClssfr_6fs_13,0.465,0.207
XGBClssfr_6fs_14,0.477,0.129
LgstcRgrssn_6fs_10,0.471,0.24
LgstcRgrssn_6fs_11,0.484,0.234
LgstcRgrssn_6fs_12,0.471,0.24
GrdntBstngClssfr_6fs_2,0.381,0.199
LgstcRgrssn_6fs_13,0.439,0.209
LgstcRgrssn_6fs_14,0.484,0.234
RckPrdctr_1fs_2,0.477,0.129
LgstcRgrssn_1fs_2,0.49,0.276
XGBClssfr_2fs_2,0.516,0.324
LgstcRgrssn_8fs_3,0.503,0.347
RckPrdctr_1fs_3,0.477,0.129
RckPrdctr_1fs_4,0.477,0.129
LgstcRgrssn_1fs_3,0.49,0.276
XGBClssfr_2fs_3,0.516,0.324
LgstcRgrssn_8fs_4,0.503,0.347
LgstcRgrssn_8fs_5,0.548,0.401
XGBClssfr_12fs_1,0.535,0.297
LgstcRgrssn_12fs_1,0.503,0.315
LgstcRgrssn_14fs_1,0.555,0.366
RckPrdctr_1fs_5,0.477,0.129
LgstcRgrssn_1fs_4,0.49,0.276
RckPrdctr_1fs_6,0.477,0.129
LgstcRgrssn_1fs_5,0.49,0.276
XGBClssfr_2fs_4,0.523,0.307
LgstcRgrssn_8fs_6,0.503,0.327
LgstcRgrssn_8fs_7,0.548,0.401
