utterance,label,previous speaker
Morty! You gotta come on. Jus'... you gotta come with me.,Rick,
"I got a surprise for you, Morty.",Rick,Morty
It's the middle of the night. What are you talking about?,Morty,Rick
"Come on, I got a surprise for you.  Come on, hurry up.",Rick,Morty
Ow! Ow! You're tugging me too hard!,Morty,Rick
"We gotta go, gotta get outta here, come on. Got a surprise for you Morty.",Rick,Morty
"What do you think of this... flying vehicle, Morty? I built it outta stuff I found in the garage.",Rick,Rick
"Yeah, Rick... I-it's great. Is this the surprise?",Morty,Rick
"Morty. I had to... I had to do it. I had— I had to— I had to make a bomb, Morty. I had to create a bomb.",Rick,Morty
"We're gonna drop it down there just get a whole fresh start, Morty. Create a whole fresh start.",Rick,Morty
"Come on, Morty. Just take it easy, Morty. It's gonna be good. Right now, we're gonna go pick up your little friend Jessica.",Rick,Morty
"When I drop the bomb you know, I want you to have somebody, you know? I want you to have the thing. I'm gonna make it like a new Adam and Eve, and you're gonna be Adam.",Rick,Morty
"And so that's the surprise, Morty.",Rick,Morty
"No, you can't!  Jessica doesn't even know I exist! But—but, but forget about that, because you can't blow up humanity!",Morty,Rick
"I-I get what you're trying to say, Morty. Listen, I'm not...  You don't got... Y-you don’t gotta worry about me trying to fool around with Jessica or mess around with Jessica or anything. I'm not that kind of guy, Morty.",Rick,Morty
"What are you talking about, Rick?",Morty,Rick
"You-you don't have to worry about me getting with Jessica or anything. Sh-sh-she— she, she, she's all for you, Morty.",Rick,Morty
I don't care about Jessica! Y-Yyyyyyyyyyou—,Morty,Rick
"You know what, Morty? You're right.  Let's forget the girl altogether. She, she's probably nothing but trouble, anyways.",Rick,Morty
"That's it... that's it, Rick. I'm taking the wheel.",Morty,Rick
"I'm taking charge of this situation, buddy!  I'm put—I’m, I'm, I'm, I'm puttin’... I-I’m, I’m, I’m not gonna stand around like some sort of dumb... dumb person and just le-let you ruin the whole world!",Morty,Rick
"Come on! What’s gotten into you? If you love Earth so much why don’t you marry it?  What are you, crazy? Alright, alright, Morty.",Rick,Morty
Alright. I'll-I'll land. I'll land. I'll land. I'll land the thing. I’ll land the thing. Big tough guy all of a sudden.,Rick,Rick
"We'll park it right here, Morty. Right here on the side of the ree... road here.",Rick,Rick
"You know what? That was all a test, Morty. Just an elaborate test to make you more assertive.",Rick,Morty
"Sure. Why not? I don’t, I don't know. Y-you know what, Mo—",Rick,Morty
I see there's a new episode of that singing show tonight. Who do you guys think is gonna be the best singer?,Jerry,Morty
"Oh my God, his head is in his food. I'm going to puke.",Summer,Jerry
"Morty, are you getting sick?  I told you not to practice-kiss the living room pillow. The dog sleeps on it.",Beth,Summer
"I wasn't kissing a pillow, mom. I just I didn't get a lot of sleep last night. Maybe my dreams were just too loud or something.",Morty,Beth
Or maybe you were out all night again with Grandpa Rick.,Summer,Morty
"What, so everyone's supposed to sleep every single night now? You realize that nighttime makes up half of all time?",Rick,Beth
"Oh my god, my parents are so loud, I want to die.",Summer,Jerry
"Mm, there is no God, Summer. You gotta rip that band-aid off now. You'll thank me later.",Rick,Summer
"Okay, with all due respect, Rick— what am I talking about? What respect is due? How is my son supposed to pass his classes if you keep dragging him off for high-concept Sci-Fi rigamarole?",Jerry,Rick
"Listen, Jerry. I-I-I don't want to overstep my bounds or anything. It's your house. It's your world. You're a real Julius Caesar but I'll tell you something—tell you how I feel about school, Jerry. It's a waste of time.  Buncha people running around, bumping into each other. G-guy up front says, ""two plus two."" The people in the back say, ""four."" Then the—then the bell rings, and they give you a carton of milk and a piece of paper that says you can go take a dump or something. I mean, it's not a place for smart people, Jerry. And I know that's not a popular opinion, but it's my two cents on the issue.  This was a good breakfast, Beth. You really made the crap out of those eggs. I wish your mother was here to eat them.",Rick,Jerry
Wow. Th-they're both great. Thank you!,Morty,Jessica
"Uh, that's flattering... and a little weird.",Morty,Jessica
"Wow. Well, okay, Jessica. L-let's give this a shot.",Morty,Jessica
"Uh, I-I'm just doing my best.",Morty,Jessica
"Oh, geez, Frank. I don't know if a knife is necessary. I mean, you know, y-you kind of had things handled without it.",Morty,Morty
"There you are, Morty. Listen to me. I got an errand to run in a whole different dimension. I need an extra pair of hands.",Rick,Morty
"Oh, geez, Rick. W-w-what'd you do to Frank?",Morty,Rick
"It's pretty obvious, Morty. I froze him. Now listen I need your help, Morty. I mean, we got we got to get get the hell out of here and go take care of business.  It's important. Come on, Morty.",Rick,Morty
"I don't know, Rick. I can't leave school again.",Morty,Rick
"Do you have any concept of how much higher the stakes get out there, Morty? What do you think I can just do it all by myself? Come on!",Rick,Morty
"Aw, geez. Okay. I guess I can skip history. What about Frank? I mean, shouldn't you unfreeze him?",Morty,Rick
"I'll do it later, Morty. He'll be fine. Let's go.",Rick,Morty
"My manager gave me an hour for lunch, and I thought, ""hey, why not swing by where your wife works?""",Jerry,Beth
"Jerry, please tell me you're here for an incredibly urgent reason.",Beth,Jerry
"Well, it's lunch. I mean, it's one of three meals that have existed for millennia.",Jerry,Beth
"Okay, I only ask, Jerry, because, as you know, my job involves performing heart surgery.",Beth,Jerry
"Okay, Let's not rehash that fight. I sense that you're busy and will now be on my way.",Jerry,Beth
"Whoa! What is this on the floor? Some kind of literature for a really nice-looking nursing home. Hey, honey, crazy idea bad pitch let's put your dad here. Let's put your dad in a nursing home.",Jerry,Jerry
"Hey, Tom! We know when we're losing him. WE CAN HEAR THE BEEPS!",Beth,Jerry
"There she is. All right. Come on, Morty. Let's go.",Rick,Beth
"Oh, man, Rick. What is this place?",Morty,Morty
"It's Dimension 35-C, and it's got the perfect climate conditions for a special type of tree, Morty, called a Mega Tree, and there's fruit in those trees, and there's seeds in those fruits. I'm talking about Mega Seeds. They're they're incredibly powerful, and I need them to help me with my research, Morty.",Rick,Morty
"Oh, man, Rick. I'm looking around this place, and I'm starting to work up some anxiety about this whole thing.",Morty,Rick
"All right, all right, calm down. Listen to me, Morty. I know that new situations can be intimidating. You're looking around, and it's all scary and different, but, you know, m-meeting them head on, charging right into them like a bull that's how we grow as people. I'm no stranger to scary situations. I deal with them all the time. Now, if you just stick with me, Morty, we're gonna be—",Rick,Morty
"I never seen that thing before in my life. I don't even know what the hell it is! We got to get out of here, Morty! It's gonna kill us! We're gonna die! We're gonna die, Morty!",Rick,Rick
"Oh, Morty, take a deep breath. Breathe that breathe that fresh air in, Morty. Y-you smell that? That's the smell of adventure, Morty. That's that's the smell of-of-of-of a whole different evolutionary timeline.",Rick,Rick
"All right, Rick, look how much longer is this gonna be? Shouldn't I be back at school by now?",Morty,Rick
"Are you joking me? I mean, look at all the crazy crap surrounding us. Look at that thing right there.  What the hell is that thing? You think you're gonna see that kind of thing at school?  Look at it just lumbering around.  It defies all logic, that thing.",Rick,Morty
"Yeah, Rick, I get it. We're surrounded by monsters. That's kind of the reason why I want to leave.",Morty,Rick
"You see what we just stumbled upon, Morty? Any idea what that is down there?",Rick,Rick
"That's right, Morty the mega trees with the mega fruit on them and that's what I'm talking about, Morty. That's where my seeds are. If we would have done what you wanted, I would have never have found them, because you're so in love with school.",Rick,Morty
"All right, all right. So, what's so special about these seeds, anyways?",Morty,Rick
"You ask a lot of questions, Morty. Not very charismatic. It makes you kind of an  under-  underfoot figure.",Rick,Morty
"Just take these shoes, Morty. They're  special grappling shoes. When you're wearing these things, these babies, you can basically just walk on any surface you want, Morty up, down, below, turn around to the left. These things really bring it all together.",Rick,Rick
"You have to turn them on, Morty! The shoes have to be turned on!",Rick,Morty
"I am not putting my father in a home! He just came back into my life, and you want to grab him and stuff him under a mattress like last month's Victoria's Secret?",Beth,Rick
"I told you I was ordering you something for Valentine's Day. More importantly, your father is a horrible influence on our son.",Jerry,Beth
"Since we're fighting, if you ever have an affair with that guy, I will come to the hotel room and blow my brains out all over your naked bodies.",Jerry,Beth
"Look, I appreciate the stress you're under, but Morty was having trouble in school way before my dad moved in, and the only influence I can see Rick having is that, for the first time in his life, Morty has a friend.",Beth,Jerry
"Uh, yeah, maybe I am. I'm my father's daughter. I'm smart. Why do you think I'm a heart surgeon?",Beth,Jerry
"Morty, oh, you really d-did a number on  your legs right now. You know, you got to turn  the shoes on, Morty, for them to work. Yeah, look I turned mine on. I had no problem getting down here. It was a leisurely breeze.",Rick,Principal Vagina
"I'm in a lot of pain, Rick!",Morty,Rick
"Yeah, I can see that. But do you think you'll still be able to help me collect my seeds, Morty?",Rick,Morty
"Are you kidding me?! That's it, Rick! That's the last straw! I can't believe this! I'm sitting here with both of my legs broken, and you're still asking me about getting those seeds?! Ooh! Ow! Oh! Y-y-you're a monster. Y-you're like Hitler, but-but even Hitler cared about Germany or something.",Morty,Rick
"Okay, hold on just a second, Morty.",Rick,Morty
Ooh! Ohh! Ooh! Hnngh! Hoo! Ooh! Ohh! Aaaaagh! Oooooh!,Morty,Rick
"Ooh, Ohh, Ooh. Wow, Rick. That stuff just healed my broken legs instantly. I mean, I've never felt so good in my life. Thank you.",Morty,Morty
"Don't worry about it, Morty. Just come help me get these seeds, all right, buddy?",Rick,Morty
"Not that you asked, Morty, but what just happened there is I went into a future dimension with such advanced medicine that they had broken-leg serum at every corner drugstore.  The stuff was all over the place, Morty.",Rick,Morty
"There's just one problem, Morty one little hang-up. The dimension I visited was so advanced, that  they had also halted the aging process, and everyone there was young, Morty, and they had been forever. I was the only old person there, Morty.  It was like I was some sort of, you know, celebrity, walking around. I-I was fascinating to them. There were a lot of attractive women there, Morty, and they-they-they— they all wanted time with me. I had a lot of fun with a lot of young ladies, but I spent so much time there, my interdimensional portal device it's got no charge left, Morty. It's got no charge left.",Rick,Morty
"It's as good as garbage, Morty. It's not gonna work anymore, Morty.",Rick,Morty
"Oh, geez, Rick, that's not good. W-what are we gonna do? I-I have to be back at school right now. How are we gonna get back home?",Morty,Rick
"There's ways to get back home, Morty. It's just it's just gonna be a little bit of a hassle. We're gonna have to go through interdimensional customs, so you're gonna have to do me a real solid.",Rick,Morty
"When we get to customs, I'm gonna need you to take these seeds into the bathroom, and I'm gonna need you to put them way up inside your butthole, Morty.",Rick,Morty
"Put them way up inside there, as far as they can fit.",Rick,Morty
"Oh, geez, Rick. I really don't want to have to do that.",Morty,Rick
