utterance,label
Morty! You gotta come on. Jus'... you gotta come with me.,Rick
"I got a surprise for you, Morty.",Rick
It's the middle of the night. What are you talking about?,Morty
"Come on, I got a surprise for you.  Come on, hurry up.",Rick
Ow! Ow! You're tugging me too hard!,Morty
"We gotta go, gotta get outta here, come on. Got a surprise for you Morty.",Rick
"What do you think of this... flying vehicle, Morty? I built it outta stuff I found in the garage.",Rick
"Yeah, Rick... I-it's great. Is this the surprise?",Morty
"Morty. I had to... I had to do it. I had— I had to— I had to make a bomb, Morty. I had to create a bomb.",Rick
"We're gonna drop it down there just get a whole fresh start, Morty. Create a whole fresh start.",Rick
"Come on, Morty. Just take it easy, Morty. It's gonna be good. Right now, we're gonna go pick up your little friend Jessica.",Rick
"When I drop the bomb you know, I want you to have somebody, you know? I want you to have the thing. I'm gonna make it like a new Adam and Eve, and you're gonna be Adam.",Rick
"And so that's the surprise, Morty.",Rick
"No, you can't!  Jessica doesn't even know I exist! But—but, but forget about that, because you can't blow up humanity!",Morty
"I-I get what you're trying to say, Morty. Listen, I'm not...  You don't got... Y-you don’t gotta worry about me trying to fool around with Jessica or mess around with Jessica or anything. I'm not that kind of guy, Morty.",Rick
"What are you talking about, Rick?",Morty
"You-you don't have to worry about me getting with Jessica or anything. Sh-sh-she— she, she, she's all for you, Morty.",Rick
I don't care about Jessica! Y-Yyyyyyyyyyou—,Morty
"You know what, Morty? You're right.  Let's forget the girl altogether. She, she's probably nothing but trouble, anyways.",Rick
"That's it... that's it, Rick. I'm taking the wheel.",Morty
"I'm taking charge of this situation, buddy!  I'm put—I’m, I'm, I'm, I'm puttin’... I-I’m, I’m, I’m not gonna stand around like some sort of dumb... dumb person and just le-let you ruin the whole world!",Morty
"Come on! What’s gotten into you? If you love Earth so much why don’t you marry it?  What are you, crazy? Alright, alright, Morty.",Rick
Alright. I'll-I'll land. I'll land. I'll land. I'll land the thing. I’ll land the thing. Big tough guy all of a sudden.,Rick
"We'll park it right here, Morty. Right here on the side of the ree... road here.",Rick
"You know what? That was all a test, Morty. Just an elaborate test to make you more assertive.",Rick
"Sure. Why not? I don’t, I don't know. Y-you know what, Mo—",Rick
I see there's a new episode of that singing show tonight. Who do you guys think is gonna be the best singer?,Jerry
"Oh my God, his head is in his food. I'm going to puke.",Summer
"Morty, are you getting sick?  I told you not to practice-kiss the living room pillow. The dog sleeps on it.",Beth
"I wasn't kissing a pillow, mom. I just I didn't get a lot of sleep last night. Maybe my dreams were just too loud or something.",Morty
Or maybe you were out all night again with Grandpa Rick.,Summer
"What, so everyone's supposed to sleep every single night now? You realize that nighttime makes up half of all time?",Rick
"Oh my god, my parents are so loud, I want to die.",Summer
"Mm, there is no God, Summer. You gotta rip that band-aid off now. You'll thank me later.",Rick
"Okay, with all due respect, Rick— what am I talking about? What respect is due? How is my son supposed to pass his classes if you keep dragging him off for high-concept Sci-Fi rigamarole?",Jerry
